@relation dataset-bow-valence-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute valence numeric

@data
'  oo big grin probably going work sisters house  oclock rest summer break .. sadness sorry , . rp sometimes .. need energy work .  ',4.5
'saw blind side last night , favorite football movie ever !',6.5
'thanks guys ! great bday ga fam .',6.5
'getting ready take youngest see princess frog , fun !',6.5
'india foxtrot yankee oscar uniform alpha november uniform november delta echo sierra tango alpha november delta tango hotel india sierra , oscar papa yankee alpha november delta papa alpha sierra tango echo tango yankee oscar uniform romeo sierra tango alpha tango uniform sierra ! ! !',5.5
'weekend almost ! yay !',6.5
bored,4
'hell tweet ?',4
'tied south soooo ! ! ! ! !',4
'got sick .. resting ..',4
'reliving childhood',5
'mom  remember time got ld mom  phsch',5
'logizomechanophobic !',5
'roll tide ! ! ! ! !',5
'uhh hate instutor lets us go early wait anthor hour next class start .',3.5
'thank thinking happy god getting old .',6
'made really tasty mac cheese soup tonight . yummy !',6
'ever get going .. , know ? wind blew right direction , would even care .. would .',5
'told graders school santa magical ninja kill cookies belived . love job .',6.5
'brought truck back dead yesterday .. yee haw ! omg zombie truck ..',6.5
'bummer .. cowboys ..',3.5
'robbed man think dance ! ! ! !   ',3.5
'birthdays feel like birthdays anymore',3
'mayer ruined head , boy steps window cries ledge people . theres time pray theres time fight . anything weapon holding right . defend , take souls . time rise , fight .  save city  ludo',5.5
'wtf ! season set glee ? rocks !',6.5
'time finish moving stuff .. lets hope take long',5
'happy thanksgiving',6
'lil walks bedroom dad mom bent going . dad winks leaves . dad thinks better talk . looking whole house dad finds upstairs grandma bent putting hard . dad flips . hell ? winks says .. funny mom huh bitch ? !',4.5
'youmacon absolutely amazing gon na start getting ready next year soon',7
'babe drowning silent eyes . died make king anything ?',4
'thx well wishes !',6
'new york cub scout overnight ss littlerock . great afternoon shopping guys complaining long taking ! wonderful .',6.5
'really tired evening . cleaning day time relax call day . good monday everyone .',5.5
'caaaa sleep sadness , got wake hours work sadness sadness sadness',3
'jimi hendrix never died god took heaven teach play guitar',6.5
'many records broken one daytona , makes sense winner historical well . awesome freakin  finish , huge congrats trevor bayne ! awesome !',6.5
'really today .',4
'blessed night thank coming betufill double ritual night thank came',6.5
'oftn usd say momm tat vud neva miss .. bt dae missin ..  mch .. luv mom .. ! !',4.5
'think go back work tomorrow .',5
'time roll fnm white eldrazi . see plays .',5
'movie pops . stoked .',6
'freakin bored somebody suggest something come different ways kill',4
'tired ..',4.5
'poppin  champagne',5.5
'today thankful live world technology advanced options great almost anything possible ! also like able watch part technological revolution moving bag phone seeing droid cool !',7
'gon na die lack sleep one day .',4.5
'merry christmas everybody .. getting ready  way .. happy',6.5
'traveling outside three mile radius apartment mother ever .',4
'interview nashville fire department ! pray well .',6
'goodluck guys ! ..',6.5
'still belive going go permit tommarow .',5.5
'live .. live right , enough happy',6.5
'today long productive . think relax jacuzzi jump bed . best part every day must end .',6
'thinking maybe agreeing another shift full hour night shift may bad idea .. even  hours time ! sleep  hours happy',6
'going insane !',5
'need chicken farmville , please help help help !',4
'seen schroderhuis yet ? join shame ! audiotour tomorrow   .',5
'lil mans movin around much feel like havin ticks ..',4.5
'finished watching platoon . definitely recommended weak stomach .',4.5
meh,4.5
'way toowoomba ! ! ! ! ! woohoo .. wait airport ruddy plane stuff !',6.5
'bored .. wait ta come someone ta talk .. really need ta talk ta someone',3.5
'woching nfl happy hd tv allmost makes haveing foxtel eny',6
'curses gulible .  wtf . curses .. ',4
'time get rdy work tt  anything day',4
'got back camping . happy',6
'tryouts day ! ! ! excited',7
'awwwwwwww cowboys r losing .. stupid vikings',3.5
'missed !',5
'ha sucks fer trevor',4.5
'hair post pic later going get ready see got store today peace',5
'last night amazing ! see anthony rapp adam pascal last performance rent , also ended night  fires lounge whole cast celebrating !',7.5
'weeded , tilled , weeded , composting , fixing till .',5
'thanks b day wishes ! !',7
'thinks waking  punishment god',4
'minute action equal infinite amount prayer .',5
'magicalsuper power like would able see auras psycic powers . awesome would life abilities .',5.5
'feels gud back fb .. frenz r missd',6.5
'know wrtie box',5
'dam fresh memories .. shit funny cuzin ! man ball wit kinfolks ! lmao ! trip , comin december fa sho . know ms.mom gon na feastin around time .. oh ! time maybe make pad ! lmao ! love cuzo.peace',8
'yawwwwwwn nite people .. wait chant hiroko ! good !',6.5
'baby polar bear goes mother asks , real polar bear ?    yes course . ask ?   baby replies ',5
'yayerh !',5
'today first day vacation . laying around day .. life .',6.5
'wonder go school education knowledge , knowledge power , power corrupts , corruption leads crime crime pay ?',4
'bowlingg today love hopefully get higher   p',5.5
'mustard man ! woo woo bow ! shout know mustard man .',6.5
'ca make life little easier , fully deserve , make little harder , also fully deserve .',3.5
'happy got ta get weekend . happy',6.5
'want tell everyone thank much birthday wishes',6.5
'high tea ! ! ! happy',7
'miss sun .',4
'thx everyone de wishes tc hapi alwayszzz ..',6.5
'man .. ilove much young .. coming home tomar',6
'happy birthday ! !',6.5
crying,2.5
'birthday officially  best birthday ever',8
'fell victim birthday prank ! ! ! gon na git guys ! ! ! ! ! !',6
'issues wo hinder warmhearted !',6.5
'last card ..',5
'somebody pull walker think ready home happy   ',6
allllllllloooooooooooooo,5
'ok , watch news channel  dallas  happy  pm say picture . famous ! ! lol .',5.5
'anyone graduation pictures use new dream website ? ? must cap gown ! ! ! need right ! ! ! like next hour  pm . thanks ! ! !',5.5
end,5
'thank birthday wishes , great birthday',6.5
'england  ',6
'live love laugh think sleep work die .. cheeky , playful',5.5
'life made unfair live fair .. agree ?',4.5
'fun night ! excited tomorrow !',7
'ny definitively special kind energy  making tired , making want life , thinking possible .',6
'rough weekend farran thing paint brinker parking garage part yellow car ! ac went yesterday , motor , got fixed hour ago . tabby crappy softball practice coach lot family team fair , mom tongue def bleeding much bit today ! gon na get better though , thinking positive !',4
'think converted .. officially gleek !',6
'many years millions people trusting mainstream media releav pain suffering caused .. thinking stuff !',5
'never time anything !',4
'creepy old men know insist adding friend ?',3.5
'eh get go aso .. tired .. idk ill make',4
'sunday night football baby ! ! ! ! go green bay ! ! ! going stomp bears woot woot ! ! ! !',7.5
'man beautiful day think gon na go drive .. know know long .. tops music blastin thats sure !',7.5
'yaar mer mobile milana thaa long emergency duties nowadays',5
'deadscared yet smiley facetoface meeting emma .. cute lilone , ..',5.5
'time oil roadie ..',5
'survived another weekend work .. come guess ! !',5.5
'pa choww .. bexstar birthday party shall great !',6
'life one big mess . ever learn figure .',2.5
'thank wonderfull sentiments meant alot , never life remeber gettig many greetings nice . wonderfull day wonderfull time moms lit path barns year , flashlights yea ! ! horse lights scared storms strange reason . love mama',8
'yay ! ! ! got pass back ! ! !',7.5
'yipeeeee !',7
'everybody hates , fuck , afraid cry , none business ! whose life ? get ? see ? feel ? eat ? spin around spit face . wan na leave without trace , cause wan na die place !',2
' dollars ham sandwich ! ! anonymous professor',5
'one know upload pics phone facebook ? ? got ta figure .. maybe damn palm centro !',4.5
'sick dammit',4
'excited purchased bunch new workout clothes ! wohoo ! better motivation book !',7
'omg  creeping',5
'fun sis halloween oreos .',6
'championship nothinglos angeles lakers',5
'less  hours big day ! ! ! ! ! ! ! !   ',6.5
'michele .. life would suck without ..',6
'thanks everyone',6
'photos rock ! thanks fiona !  hugs ',7
'little bit drained , alittle bit pumped .. mostly ready crawl sheets ! ! ! fun ? ?',6
'react life head without joining forces heart , lead us childish , inelegant behavior respect . get head sync heart first , power teamwork working us make changes know need make .',6
'mondays murder',4
'tomorrow  birthday love . sunday  singles awareness day happy . monday  practice skeptical , annoyed , undecided , uneasy hesitant . text ? .',6
'says  life music , play louder',5.5
'tired family drama . seems like older get , convinced right act like total asshole .',3
'.. morning everyone ! mwuahh .. sleep nah q , . , open p q .. .',5.5
'hard optimistic feels like world .. want fucking car !',3.5
'understand .. pass north korean border illegally get  yrs . hard labor , pass afghan border illegally get shot . pass american border illegally get job , driver license , allowance place live , health care , education , billions dollars spent read document . carry passports countries face jail time . repost agree',3
'hate kind status , .. work day . txt get back asap happy haha ewwww , caved fb monster !',6
'way florida',6
'would like say huge thankyou lovely birthday wishes . lovely relaxed day getting old body take .',7
'yes everyone alive ! ! okay phone still able keep contact everybody . fun halloween nevaeh little kitty cat , pics soon',6
'sibling war ! ! ! ! copy paste sibling spends way much time facebook ! ! ! ! ! ! ! ! !',5
'glad home work.merry christmas .',7
'wait going buy new truck tomarro',6.5
'jack trades , yet master none .',4.5
'scripture says , one believes put shame.  ',5
'cold baseball today . ?',4
'hurt foot evry ! ! ! frown , sad , angry pouting sad , haha really ! xoxox',6
'thinks facebook kinda fun',6
'love aida .',7
'uploaded mass weird pics lol wondering think !',6
'hello fb friends virus spreading like wildfire , trojan virus worm called koobface . steal information , attacking computer andshut ! open link  obama clinton scandal  , smartgrrrl add friend ',4.5
'thanks everyone left comment wall   . . . would reply , spare twenty minutes . love youuuu',6.5
'savvy people answer question ? posted answers trying figure hell wrong stupid thing ca seem find ..',4
'barcelona suckss hahaha arsenal  cmon baby ! ! ! ! !',6.5
'memory full ! ca think anything today .. grrrrrr .. !',3.5
'thank everyone make feel loved happy',8
'looks someone shook snowglobe .',5
'love qualities , love persons  sometimes reason defects well qualities ..',5.5
'school tomorrow dangit',3.5
'ya doin peeps ?',5
'holy shit drew today . come !',6
'luckiest person world know many fantastic beautiful people  loves ! ! !',7.5
'think chicken soup !',5.5
'wants see creative facebook friends r. leave one word comment think best describes using third letter first name . one word ! copy paste wall leave word ! comment copy paste ! play along . fun !',6
'sols tommorow .. ughh',4
'peeps bye .. cheeky , playful',5
'sick crying tired trying yeah',3.5
'owl city love',6
'hope everyone go vote unc de rather stay home drink like dey win already',4.5
'bad hair day   whatever ima bring ppl cookies ! make happy ! ! yay !',7
'well question spoil first ? ? ? ? ? ?',4.5
'going sleep stars ! laughing',6.5
'bored crap',3.5
'happy yo ! , let see pretty lights e cheeky , playful losions .. necessarily order time frame ! laughing',7
'man sore excercising hard tonight think pulled muscle time ow ow ow',4
'upon time .. gave shit',4.5
'wait till wednesday cause goin angels house goin home till monday !',7
'tired  hours still ca go bed shitting',3
'sit  computer , suffering head cold . lil watches spongebob .',4.5
'everybodys got something give , prevented using dental dam .',5
'tonite .. let think .. happy gon na fun ! !',7.5
'dead fblol',5.5
'ne blame ? ? ? ? ? ? ? ? ? ?',3.5
'excited tomarrow ! ! ! ! !',7.5
'past bedtime wheeee ! waiting come home .',6.5
'wat get grow hair ? ? ? ? ? ? ? greater visible hairfalllll .. ! ! ! ! ! ! !',5
'great morning hit gym ! ! ! !',7
'going bed try sleep ! aahhhh',5
'omg aunt gayle chicago said brain boomer lmao  ',6
'lol  people let  pigs loose skool .. .. labelled pigs   .. principal , etc found two pigs labeled   .. searching pig labelled  .. pig exist laughing .. love',6.5
'get wear uniform every thursday yay',6
'spending another lazy day home , liking . although admittedly becoming boring . may actually venture join human race .',5.5
'say disip spanish disip gazzman wilton djkompa disip versace michael adolphe chancy , want tell dominican girlfriend since never heard name .. asked name drink .. lol .',5
'todays birthday woohoo .',6
'take jeopardy ! teen test .',5
'love peace .',7.5
'yest nite   earthquake delhi , felt tremors tym lyf ! ! ! thank god still alive ! !',6
'happy new year yall',6.5
'friends come go , , , thankful chose stay , , , coz think perfect friend .. trials encountered , still , stick together ! ! love gfs  bfs ! ! !',7.5
'yiiiiiiiiiiiiiiiiiiiiiiiiiiiiiippeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',7
'sick tired sick tired !',3
'merry christmas everyone ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',7
'duuuude .. brain dead right .. mellow .. like really mellow .. homo',4.5
'cheesiest joke seen day  frayed knot . hahahahah ! , like ?',5.5
'lol sight keeps telling two freinds idiots .',5.5
'house m.d laughing',6
'thinks sick cool ..',3.5
'well , time get everyone ready .. jeremy singin graduation , jasmine going cousin , korina going grammy go work .. catch everyone laterz !',5.5
'busy little bee .',5
'scared . hate feeling . never scared .',2.5
'computer slow . speed buddy !',4
'yeah brithday party shyanne house god sister brithday',5.5
'got bk frm spain soo tired got tan great time happy',7
'happy veterans day served served ! !',7
'tryn figure adopt pet ? ? ?',5
'thanks birthday wish',6
'maine happy',7
'happy hump day !',6
'could never figure people could hurt ones love , would thought would turn someone like . else say except sorry , change . empty words prove promise find way brings things back way , wo push away anymore . thank friend never gave .',5
'life ish giving takeing love ..  whispers  try one takeing ! laughing',5.5
'two roads diverged wood , took one less traveled , made difference .',5
'thanks everybody wonderful birthday wishes ! ! ! luv ya ! happy',7.5
'thank wishes ! !',6.5
'love smell spring',7
'yay assed geometry exam ! take test good ! happy',6.5
'know people always telling done wrong live life , know ? cause life shit unfixable , think helping helps . say fuck want want people , life .',4
'war eagles lets finish',5.5
