@relation dataset-bow-arousal-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute arousal numeric

@data
'summmerrrsss baaaccckkkk ! ! ! ! god missed fb ! ! !',8
'theres fat guy pastry shop twenty dollar bill ready buy , order predict volume change need know value pi',2
'think obsessed , weird .. jk',2.5
'thanks everyone said happy birthday ..  wait march   happy',4
'coffee ! ! !',6
'time log ..',1.5
'kinda upset couple friends might job important . ?',3.5
'yay ! ! ! uni finally finished year happy hello three months happy',7.5
'avoiding teased , might mean coward . never faced words thrown . never get angry still stuck somewhere heart might find years . wait come near say something . would glad hear ,       happy happy happy happy valentines day ! !',4.5
'let snow , let snow !',4
'may want take christ christmas , never take christ . ashamed christ post status  day light world . people ashamed scared . remember jesus said . whoever acknowledges men',4.5
'always hard .. hurts bad ..',3
'make good life one going ! happy',5
'past  years employed  joke writers supplied one million gags , still could make laugh .',3
'answered question friend facts',1.5
'good luck everybody exams  prays ',1.5
'ai world confusing ? retarded ! ?',4.5
'life matter choice . often make decision meantime feel responsible choose ? ?',5
'likes hammering nails weeding paths',2
'mistakes always come back haunt yooou . regret something first time liffe , hate feeeeling . love',3.5
'walking dead television pilot commense filiming may . fuck yes',7
'started work , makin bank !',5.5
' missed fg , dammit ! ! ! still like though kicker gets bar fights cool , seriously make fg !',6.5
'damp morning , maybe angry old lady let us paint dew today instead sending us home , doubt .',3.5
'ok .. finished reading latest bleach manga . still plans milk bleach even starting new arc . wonder would start scratch ? also looks like would bigger role .',1.5
'wait june ',4
'pizza reaches home faster ambulance  police , car loans    education loan    , rice rs  per kg sim card free , footwear sold ac showrooms , vegetables , eat , sold footpaths .. got change something ..',4.5
'set tomorrow laughing excited happy',7
'stupid frontierville bear scared cat clawed .',4.5
'loui great bed',2
'shortall love',2
'friends going back home ! ! ! miss guys much ! ! ! frown , sad , angry pouting ',7
'shout outs bro getting airport early  axing last  passengers checked due weight restriction ! holy balls',5.5
'mrs gon na go shopping ! ! !',7
'shame west indies frown , sad , angry pouting good luk  happy',4
'great day ! ! thanks much birthday wishesblessingslove ! ! !',7
'okay , school bad .. able sleep  extra hours awesome ! getting   better  !',6
'need extra careful days . flu .. conjunctive eyes .. typhoid .. common results ignorance frown , sad , angry pouting',4
'dota dota dota .. hehehehe isshhhh .. micro .. hmpf ..',5.5
'mri done today .. prays  answer  pain healn body . god bless fb .',2.5
'finally became member facebook . yay joy lets hear boredome minds ..',2.5
'yo buy bus tickets back vt !',5
'told today alot pistures facebook.my response , love ! .. true ! disliked hated anybody , head remains high . deuces',4.5
'enjoying day ! !',5.5
'squirell dead sad crying lagrima',4
'long day ! birthday parties always drain . renting weeds season  snuggling lovey night . ahhh ..',5
'thanks birthday wishes friends .. appreciate ..',2
'new ideas dead night dreaming natural ..   ',3
'much drama lbc , kinda hard bein  snoop double g , somehow , way , keep comin  , funkyass shit like every single day may kick little somethin  g make ends , breeze two tha mornin party still jumpin , cause mama ai home .',2.5
'got sent home work early , chillin home bored hella pain . wish doctor would precribed pain killers .',2.5
'sudden change plans . work hoping family got canceled , may cost need get honeypot . know next couple days going thurs skeptical , annoyed , undecided , uneasy hesitant',2.5
'war page . need one person attack',1.5
'ga. tiny fraction children happened mystical , magical age range woken wind chrismas eve heard little branches acorns tapping roof swear next years heard santa . love .',3.5
'sorry farmvill mafia players .. , think ill .',2.5
'finally switched swing . see sleep night .',3.5
'laughing ddddooooooooxxx laughing ddododoxoooxoododo laughing x laughing laughing ox surprise sadness xo laughing ox laughing ox  laughing laughing doox laughing laughing ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',8.5
'give perfect simple situation',1.5
'  oo big grin probably going work sisters house  oclock rest summer break .. sadness sorry , . rp sometimes .. need energy work .  ',4
'saw blind side last night , favorite football movie ever !',5
'thanks guys ! great bday ga fam .',5
'getting ready take youngest see princess frog , fun !',5
'india foxtrot yankee oscar uniform alpha november uniform november delta echo sierra tango alpha november delta tango hotel india sierra , oscar papa yankee alpha november delta papa alpha sierra tango echo tango yankee oscar uniform romeo sierra tango alpha tango uniform sierra ! ! !',6.5
'weekend almost ! yay !',6
bored,1.5
'hell tweet ?',3.5
'tied south soooo ! ! ! ! !',7
'got sick .. resting ..',2
'reliving childhood',1
'mom  remember time got ld mom  phsch',1.5
'logizomechanophobic !',5.5
'roll tide ! ! ! ! !',8
'uhh hate instutor lets us go early wait anthor hour next class start .',4.5
'thank thinking happy god getting old .',4.5
'made really tasty mac cheese soup tonight . yummy !',4.5
'ever get going .. , know ? wind blew right direction , would even care .. would .',2
'told graders school santa magical ninja kill cookies belived . love job .',3.5
'brought truck back dead yesterday .. yee haw ! omg zombie truck ..',5.5
'bummer .. cowboys ..',2.5
'robbed man think dance ! ! ! !   ',6.5
'birthdays feel like birthdays anymore',3
'mayer ruined head , boy steps window cries ledge people . theres time pray theres time fight . anything weapon holding right . defend , take souls . time rise , fight .  save city  ludo',2
'wtf ! season set glee ? rocks !',6
'time finish moving stuff .. lets hope take long',2
'happy thanksgiving',5
'lil walks bedroom dad mom bent going . dad winks leaves . dad thinks better talk . looking whole house dad finds upstairs grandma bent putting hard . dad flips . hell ? winks says .. funny mom huh bitch ? !',4
'youmacon absolutely amazing gon na start getting ready next year soon',7
'babe drowning silent eyes . died make king anything ?',3
'thx well wishes !',4
'new york cub scout overnight ss littlerock . great afternoon shopping guys complaining long taking ! wonderful .',4
'really tired evening . cleaning day time relax call day . good monday everyone .',1.5
'caaaa sleep sadness , got wake hours work sadness sadness sadness',4.5
'jimi hendrix never died god took heaven teach play guitar',6
'many records broken one daytona , makes sense winner historical well . awesome freakin  finish , huge congrats trevor bayne ! awesome !',5.5
'really today .',2.5
'blessed night thank coming betufill double ritual night thank came',3.5
'oftn usd say momm tat vud neva miss .. bt dae missin ..  mch .. luv mom .. ! !',5.5
'think go back work tomorrow .',1
'time roll fnm white eldrazi . see plays .',1.5
'movie pops . stoked .',3
'freakin bored somebody suggest something come different ways kill',3
'tired ..',2.5
'poppin  champagne',2
'today thankful live world technology advanced options great almost anything possible ! also like able watch part technological revolution moving bag phone seeing droid cool !',5
'gon na die lack sleep one day .',1.5
'merry christmas everybody .. getting ready  way .. happy',4
'traveling outside three mile radius apartment mother ever .',2.5
'interview nashville fire department ! pray well .',5
'goodluck guys ! ..',5.5
'still belive going go permit tommarow .',4
'live .. live right , enough happy',3.5
'today long productive . think relax jacuzzi jump bed . best part every day must end .',2.5
'thinking maybe agreeing another shift full hour night shift may bad idea .. even  hours time ! sleep  hours happy',3.5
'going insane !',5
'need chicken farmville , please help help help !',6.5
'seen schroderhuis yet ? join shame ! audiotour tomorrow   .',4
'lil mans movin around much feel like havin ticks ..',3
'finished watching platoon . definitely recommended weak stomach .',2
meh,1.5
'way toowoomba ! ! ! ! ! woohoo .. wait airport ruddy plane stuff !',8
'bored .. wait ta come someone ta talk .. really need ta talk ta someone',2
'woching nfl happy hd tv allmost makes haveing foxtel eny',4
'curses gulible .  wtf . curses .. ',3
'time get rdy work tt  anything day',2
'got back camping . happy',4
'tryouts day ! ! ! excited',7
'awwwwwwww cowboys r losing .. stupid vikings',4
'missed !',5
'ha sucks fer trevor',3.5
'hair post pic later going get ready see got store today peace',3.5
'last night amazing ! see anthony rapp adam pascal last performance rent , also ended night  fires lounge whole cast celebrating !',6.5
'weeded , tilled , weeded , composting , fixing till .',1.5
'thanks b day wishes ! !',5
'thinks waking  punishment god',2.5
'minute action equal infinite amount prayer .',1.5
'magicalsuper power like would able see auras psycic powers . awesome would life abilities .',2
'feels gud back fb .. frenz r missd',2.5
'know wrtie box',1
'dam fresh memories .. shit funny cuzin ! man ball wit kinfolks ! lmao ! trip , comin december fa sho . know ms.mom gon na feastin around time .. oh ! time maybe make pad ! lmao ! love cuzo.peace',6
'yawwwwwwn nite people .. wait chant hiroko ! good !',5.5
'baby polar bear goes mother asks , real polar bear ?    yes course . ask ?   baby replies ',2
'yayerh !',7
'today first day vacation . laying around day .. life .',2.5
'wonder go school education knowledge , knowledge power , power corrupts , corruption leads crime crime pay ?',3
'bowlingg today love hopefully get higher   p',4
'mustard man ! woo woo bow ! shout know mustard man .',5.5
'ca make life little easier , fully deserve , make little harder , also fully deserve .',3.5
'happy got ta get weekend . happy',4
'want tell everyone thank much birthday wishes',3
'high tea ! ! ! happy',6.5
'miss sun .',1.5
'thx everyone de wishes tc hapi alwayszzz ..',3
'man .. ilove much young .. coming home tomar',2.5
'happy birthday ! !',5
crying,4
'birthday officially  best birthday ever',6
'fell victim birthday prank ! ! ! gon na git guys ! ! ! ! ! !',8
'issues wo hinder warmhearted !',5
'last card ..',1.5
'somebody pull walker think ready home happy   ',3
allllllllloooooooooooooo,5.5
'ok , watch news channel  dallas  happy  pm say picture . famous ! ! lol .',4.5
'anyone graduation pictures use new dream website ? ? must cap gown ! ! ! need right ! ! ! like next hour  pm . thanks ! ! !',7
end,1
'thank birthday wishes , great birthday',2.5
'england  ',3
'live love laugh think sleep work die .. cheeky , playful',3.5
'life made unfair live fair .. agree ?',2.5
'fun night ! excited tomorrow !',5.5
'ny definitively special kind energy  making tired , making want life , thinking possible .',2
'rough weekend farran thing paint brinker parking garage part yellow car ! ac went yesterday , motor , got fixed hour ago . tabby crappy softball practice coach lot family team fair , mom tongue def bleeding much bit today ! gon na get better though , thinking positive !',4.5
'think converted .. officially gleek !',5.5
'many years millions people trusting mainstream media releav pain suffering caused .. thinking stuff !',4.5
'never time anything !',5
'creepy old men know insist adding friend ?',4
'eh get go aso .. tired .. idk ill make',2.5
'sunday night football baby ! ! ! ! go green bay ! ! ! going stomp bears woot woot ! ! ! !',8.5
'man beautiful day think gon na go drive .. know know long .. tops music blastin thats sure !',5
'yaar mer mobile milana thaa long emergency duties nowadays',1.5
'deadscared yet smiley facetoface meeting emma .. cute lilone , ..',3
'time oil roadie ..',1.5
'survived another weekend work .. come guess ! !',5.5
'pa choww .. bexstar birthday party shall great !',5.5
'life one big mess . ever learn figure .',2.5
'thank wonderfull sentiments meant alot , never life remeber gettig many greetings nice . wonderfull day wonderfull time moms lit path barns year , flashlights yea ! ! horse lights scared storms strange reason . love mama',4.5
'yay ! ! ! got pass back ! ! !',8.5
'yipeeeee !',6.5
'everybody hates , fuck , afraid cry , none business ! whose life ? get ? see ? feel ? eat ? spin around spit face . wan na leave without trace , cause wan na die place !',5
' dollars ham sandwich ! ! anonymous professor',4
'one know upload pics phone facebook ? ? got ta figure .. maybe damn palm centro !',4.5
'sick dammit',2
'excited purchased bunch new workout clothes ! wohoo ! better motivation book !',5.5
'omg  creeping',3.5
'fun sis halloween oreos .',1.5
'championship nothinglos angeles lakers',3
'less  hours big day ! ! ! ! ! ! ! !   ',8
'michele .. life would suck without ..',3
'thanks everyone',1
'photos rock ! thanks fiona !  hugs ',5
'little bit drained , alittle bit pumped .. mostly ready crawl sheets ! ! ! fun ? ?',6.5
'react life head without joining forces heart , lead us childish , inelegant behavior respect . get head sync heart first , power teamwork working us make changes know need make .',2.5
'mondays murder',2
'tomorrow  birthday love . sunday  singles awareness day happy . monday  practice skeptical , annoyed , undecided , uneasy hesitant . text ? .',4
'says  life music , play louder',3
'tired family drama . seems like older get , convinced right act like total asshole .',3.5
'.. morning everyone ! mwuahh .. sleep nah q , . , open p q .. .',3.5
'hard optimistic feels like world .. want fucking car !',7
'understand .. pass north korean border illegally get  yrs . hard labor , pass afghan border illegally get shot . pass american border illegally get job , driver license , allowance place live , health care , education , billions dollars spent read document . carry passports countries face jail time . repost agree',4
'hate kind status , .. work day . txt get back asap happy haha ewwww , caved fb monster !',5
'way florida',6
'would like say huge thankyou lovely birthday wishes . lovely relaxed day getting old body take .',3
'yes everyone alive ! ! okay phone still able keep contact everybody . fun halloween nevaeh little kitty cat , pics soon',5
'sibling war ! ! ! ! copy paste sibling spends way much time facebook ! ! ! ! ! ! ! ! !',7
'glad home work.merry christmas .',2.5
'wait going buy new truck tomarro',3.5
'jack trades , yet master none .',1.5
'scripture says , one believes put shame.  ',2
'cold baseball today . ?',2
'hurt foot evry ! ! ! frown , sad , angry pouting sad , haha really ! xoxox',6
'thinks facebook kinda fun',1.5
'love aida .',1.5
'uploaded mass weird pics lol wondering think !',4.5
'hello fb friends virus spreading like wildfire , trojan virus worm called koobface . steal information , attacking computer andshut ! open link  obama clinton scandal  , smartgrrrl add friend ',3.5
'thanks everyone left comment wall   . . . would reply , spare twenty minutes . love youuuu',3.5
'savvy people answer question ? posted answers trying figure hell wrong stupid thing ca seem find ..',3
'barcelona suckss hahaha arsenal  cmon baby ! ! ! ! !',7.5
'memory full ! ca think anything today .. grrrrrr .. !',5
'thank everyone make feel loved happy',4
'looks someone shook snowglobe .',1
'love qualities , love persons  sometimes reason defects well qualities ..',1.5
'school tomorrow dangit',5.5
'ya doin peeps ?',2.5
'holy shit drew today . come !',5
'luckiest person world know many fantastic beautiful people  loves ! ! !',7
'think chicken soup !',6
'wants see creative facebook friends r. leave one word comment think best describes using third letter first name . one word ! copy paste wall leave word ! comment copy paste ! play along . fun !',4.5
'sols tommorow .. ughh',3
'peeps bye .. cheeky , playful',3
'sick crying tired trying yeah',5
'owl city love',3
'hope everyone go vote unc de rather stay home drink like dey win already',3
'bad hair day   whatever ima bring ppl cookies ! make happy ! ! yay !',6
'well question spoil first ? ? ? ? ? ?',4.5
'going sleep stars ! laughing',5.5
'bored crap',3
'happy yo ! , let see pretty lights e cheeky , playful losions .. necessarily order time frame ! laughing',5.5
'man sore excercising hard tonight think pulled muscle time ow ow ow',3
'upon time .. gave shit',2.5
'wait till wednesday cause goin angels house goin home till monday !',4.5
'tired  hours still ca go bed shitting',4
'sit  computer , suffering head cold . lil watches spongebob .',3
'everybodys got something give , prevented using dental dam .',1.5
'tonite .. let think .. happy gon na fun ! !',7
'dead fblol',4
'ne blame ? ? ? ? ? ? ? ? ? ?',5
'excited tomarrow ! ! ! ! !',7.5
'past bedtime wheeee ! waiting come home .',5
'wat get grow hair ? ? ? ? ? ? ? greater visible hairfalllll .. ! ! ! ! ! ! !',7.5
'great morning hit gym ! ! ! !',6.5
'going bed try sleep ! aahhhh',4.5
'omg aunt gayle chicago said brain boomer lmao  ',5
'lol  people let  pigs loose skool .. .. labelled pigs   .. principal , etc found two pigs labeled   .. searching pig labelled  .. pig exist laughing .. love',4
'get wear uniform every thursday yay',3
'spending another lazy day home , liking . although admittedly becoming boring . may actually venture join human race .',2.5
'say disip spanish disip gazzman wilton djkompa disip versace michael adolphe chancy , want tell dominican girlfriend since never heard name .. asked name drink .. lol .',2.5
'todays birthday woohoo .',3
'take jeopardy ! teen test .',2
'love peace .',1.5
'yest nite   earthquake delhi , felt tremors tym lyf ! ! ! thank god still alive ! !',7
'happy new year yall',2.5
'friends come go , , , thankful chose stay , , , coz think perfect friend .. trials encountered , still , stick together ! ! love gfs  bfs ! ! !',6
'yiiiiiiiiiiiiiiiiiiiiiiiiiiiiiippeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',9
'sick tired sick tired !',4.5
'merry christmas everyone ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !',8
'duuuude .. brain dead right .. mellow .. like really mellow .. homo',3.5
'cheesiest joke seen day  frayed knot . hahahahah ! , like ?',4.5
'lol sight keeps telling two freinds idiots .',3.5
'house m.d laughing',3.5
'thinks sick cool ..',3
'well , time get everyone ready .. jeremy singin graduation , jasmine going cousin , korina going grammy go work .. catch everyone laterz !',3.5
'busy little bee .',2.5
'scared . hate feeling . never scared .',3
'computer slow . speed buddy !',4.5
'yeah brithday party shyanne house god sister brithday',2
'got bk frm spain soo tired got tan great time happy',3.5
'happy veterans day served served ! !',5
'tryn figure adopt pet ? ? ?',4
'thanks birthday wish',2
'maine happy',2.5
'happy hump day !',4.5
'could never figure people could hurt ones love , would thought would turn someone like . else say except sorry , change . empty words prove promise find way brings things back way , wo push away anymore . thank friend never gave .',4
'life ish giving takeing love ..  whispers  try one takeing ! laughing',5
'two roads diverged wood , took one less traveled , made difference .',2
'thanks everybody wonderful birthday wishes ! ! ! luv ya ! happy',6
'thank wishes ! !',5.5
'love smell spring',1.5
'yay assed geometry exam ! take test good ! happy',5
